item,area,shortfall,page,correction,implementation,automated_result,visual_result,audio_result,status
20,,Watermark appears at the bottom of the picture,pg015_sec001.html,Remove watermark,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
21,,Answer space added Word submit appeared The word Why appears in a separate line,pg016_sec001.html,"Remove all The word ""why” should be connected to question number 3","Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
22,,Answer space and submit are added Long pause in reading activity 4,pg016_sec002.html,Remove all Improve by reducing the pause,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
23,,Picture 3 rice not clear Question 1 What you see …,pg017_sec001.html,The picture should be clear What you observe,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
24,,Table lines are not clear The system read twice Word submit appears,pg018_sec001.html,Improve the table line It should read once Remove the word submit,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
25,Activity 3,Answer space and submit appear,pg018_sec002.html,Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
26,Fishing,… The wanyasa … Watermark appears at the bottom,pg018_sec003.html,Remove “The” Remove watermark,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
27,,Look … Word submit appears,pg019_sec002.html,Should be Observe the … Remove it,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
28,,The wachaga …you see …,pg020_sec001.html,Remove “The” …you observe …,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
29,,Additional page not in the original book,qz002.html,Remove the additional page,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
30,,Number 2 not mentioned Word submit appears,pg021_sec001.html,Number 2 should be mentioned Remove the word submit,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
31,,Numbers 2 & 5 are not mentioned The words submit and answer space appear,pg021_sec002.html,Numbers 2 & 5 should be mentioned Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
32,,Letter ‘a’ repeated Letter ‘c’ not mentioned Additional boxes Word submit,pg021_sec003.html,Remove one letter ‘a’ then add letter ‘b’ Letter ‘c’ should be mentioned Remove boxes Remove word submit,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
33,Chapter two,The sound reading watermark,pg023_sec001.html,The watermark sound should be removed: ‘For online reading only’,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
34,,The words submit and answer space appear,pg024_sec002.html,Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
35,,Pronunciation of the word Adhana and Muslim,pg025_sec001.html,Should be pronounced properly as others,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
36,,Adhana,pg026_sec001.html,Pronounciation,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
37,,Answer space for question 1 Question 2: added words after the blank Question 3 has been answered The blank is heard Word submit appears,pg026_sec002.html,Remove space Remove the added words Remove the answer for the questions Voice saying blank should be removed Word submit should be removed,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
38,,The words submit and answer space appear,pg026_sec003.html,Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
39,,Number 1 not mentioned The words submit and answer space appear,pg027_sec001.html,Number 1 should be mentioned All should be removed,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
40,Chapter three,No space …hands.Some …,pg028_sec001.html,Add space after full stop,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
41,,Look at the … Duplicate line on neating picture one,pg029_sec001.html,Observe the … Remove some lines,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
42,,Additional page not in the original book,qz003.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
43,,Look at …,pg030_sec001.html,Observe the …,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
44,,"The word "" submit "" appears",pg031_sec002.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
45,,Look at …,pg032_sec001.html,Should be Observe the …,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
46,,"Question 2 has additional words and changes fonts after reading The word "" submit "" appears",pg033_sec001.html,Improve it Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Not applicable,PARTIAL - layout standardized; licensed Sassoon files not supplied
47,,"Look at … The word "" submit "" appears",pg033_sec002.html,Should be Observe the … Remove it,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
48,,The second picture is upside down,pg034_sec001.html,Make it into proper positions,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
49,,Question 1. Look at the … The word Activity 4 is not written Repeated questions and word submit,pg035_sec001.html,Should be Observe the … Add the word activity Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
50,,Look at …,pg035_sec002.html,Observe the …,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
51,,The words submit and answer space appear,pg036_sec001.html,Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
52,,The word submit appears,pg036_sec002.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
53,,Look at … The words submit and answer space appear,pg037_sec001.html,Observe the … Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
54,,6 activity The word submit appears,pg037_sec002.html,Should be Activity 6 Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
55,,Look at … The words submit and answer space appear,pg038_sec001.html,Should be Observe the … Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
56,,Long pause after the word activity The word submit appears,pg038_sec002.html,Reduce pause length Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
57,,Exercise I The words submit and answer space appear,pg039_sec001.html,Should be exercise 1 Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
58,,It’s a picture Watermark appeared The word submit appears,pg039_sec002.html,Make it a table Remove watermark Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
59,,Reading rhythm does not relate to the ngonjera Word Nchi heard as Ni nchi Number 2 not mentioned The word we read as English word instead of swahili,pg040_sec001.html,Reading should follow the rhythm of ngojera Should be pronounced properly Mention number 2 The word we should be in swahili,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
60,,Question number 2 not mentioned or read,pg041_sec001.html,Should be read,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
61,,The word submit appears,pg041_sec002.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
62,,Additional page not in the original book,qz004.html,Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
63,,Reset pictures; they are upside down The sentence I am a cow! Not heard/skipped,pg042_sec001.html,Ensure they're fully seen Should be heard,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
64,,Number 1 not mentioned,pg043_sec001.html,It should be mentioned,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
65,,Number 9 appears twice The word submit appears,pg043_sec002.html,Remove one Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
66,,The words submit and answer space appear,pg045_sec002.html,Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
67,,The words submit and answer space and their question appear Question 1 needs to be changed Dots after activity 10,pg045_sec003.html,Remove It should be: Change your facial expression and tell what you mean. Remove the dots,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
68,,The words submit and answer space appear,pg046_sec001.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
69,,Look at the …,pg046_sec002.html,Observe the …,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
70,,Question 2: sound people,pg047_sec001.html,Should be pupils,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
71,,The word submit appears sound people,pg047_sec002.html,Remove Should be pupils,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
72,,Look at the …,pg048_sec001.html,Observe the …,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
73,,Additional page not in the original book,qz005.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
74,,… you see … The words submit and answer space appear,pg049_sec002.html,… you observed … Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
75,,The word submit appears,pg049_sec003.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
76,Traditional dance,… such …,pg049_sec004.html,Take all the text from the next page and add it to this one.,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
77,,Text Number 2 not mentioned,pg050_sec001.html,Remove to the previous page. This page should remain with pictures Number 2 should be mentioned,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
78,,The word submit appears Two full stops appear in number 3,pg051_sec001.html,Remove Remove one full stop,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
79,,Long pause The word submit appears,pg051_sec002.html,Make short pause Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
80,,The word submit appears Questions number 3 and 6,pg051_sec003.html,"Remove Review it so it sounds like the other questions. Example six dot, three from colour to arrangement","Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
81,Chapter Four,Letter b and c not mentioned while reading,pg052_sec001.html,Should be mentioned,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
82,,Step 6: the dot has been mentioned Watermark at the bottom appears and is mentioned,pg053_sec001.html,Remove voice dot Remove watermark,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
83,,Number of questions not mentioned,pg056_sec001.html,Numbers should be mentioned,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
84,,Number of questions not written and mentioned,pg056_sec002.html,Number should be written and mentioned,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
85,,Additional page not in the original book,qz006.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
86,,Watermark are mention,pg058_sec001.html,The voice should be removed,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
87,,Step 6: The dot has been mentioned The word submit appears,pg059_sec001.html,The voice saying dot should be removed Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
88,,Step 7: The word ‘and’ has been skipped,pg061_sec001.html,The word ‘and’ should be mentioned,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
89,,Step 6: The dot has been mentioned Watermark appears,pg062_sec001.html,The voice saying dot should be removed Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
90,,The words submit and answer space appear,pg063_sec001.html,Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
91,,The word submit appears,pg063_sec002.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
92,,The picture needs to be improved,pg064_sec001.html,Use the photo from the original book,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
93,,Additional page not in the original book,qz007.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
94,,Watermark appear Step 6: The dot has been mentioned,pg066_sec001.html,Remove watermark The dot voice should be removed,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
95,,Winning team … are in the box,pg067_sec001.html,Remove box,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
96,,Question 2 is in the box and it reads differently from other questions,pg067_sec002.html,Remove box and improve the reading,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
97,,The word submit appears,pg067_sec002.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
98,,Watermark appear,pg068_sec001.html,Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
99,,Blue mark in the picture Word football game,pg069_sec001.html,Remove; follow the picture from the original book Remove it,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
100,,No heading “The football game”,pg070_sec001.html,Add heading “The football game”,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
101,,The words submit and answer space appear,pg071_sec002.html,Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
102,,Additional page not in the original book,qz008.html,Remove all,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
103,,The words submit and answer space appear Watermark appear,pg072_sec001.html,Remove all Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
104,,Step 6: The dot has been mentioned The words submit No space for the letter to be written,pg072_sec002.html,Remove dot voice Remove Add line space at the end of the questions,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
